sentences,sentences_labels,Subject,Object,relations,labels,filename,relations_id,cleaned_text,Combinations,Combination_spin_text
A wine glass with the now famous [E1]Sanders[/E1] meme is one of the latest additions to [E2]Etsy[/E2] seller WinebytheGlass’ collection.,A wine glass with the now famous [PERSON]Sanders[/PERSON] meme is one of the latest additions to [ORG]Etsy[/ORG] seller WinebytheGlass’ collection.,Sanders,Etsy,noRelation,"['PERSON', 'ORG']",article_73_10_funny_gifts.txt,3,A wine glass with the now famous [E1]Sanders[/E1] meme is one of the latest additions to [E2]Etsy[/E2] seller WinebytheGlass’ collection.,A wine glass with the now famous [E1]Sanders[/E1] meme is one of the latest additions to [E2]Etsy[/E2] seller WinebytheGlass’ collection.,A wine glass with the now famous [E1]Sanders[/E1] meme is one of the latest additions to [E2]Etsy[/E2] seller WinebytheGlass’ collection.
"Additional co-authors of the study include Ting Du, Amanda Sweeney, Guojun Liu, Logan Bashford, Edna Toro, Jeffrey Tithof, Douglas Kelley, John Thomas, Orestes Solis, and Rupal Mehta with University of Rochester, Andrew Sampson, Weiguo Peng, Kristian Mortensen, Frederik Staeger, Peter Bork, Hajime Hirase, and Yuki Mori with the University of Copenhagen, Poul Hjorth and Erik Martens with the Technical University of Denmark, [E1]Pablo Blinder[/E1] with [E2]Tel Aviv University[/E2], and David Kleinfeld with the University of California, San Diego. The Center for Translational Neuromedicine maintains labs at both URMC and the University of Copenhagen. The research was supported with funding from National Institute of Neurological Disorders and Stroke, the National Institute of Aging, the U.S. Army Research Office, Fondation Leducq Transatlantic Networks of Excellence Program, the Novo Nordisk and Lundbeck Foundations, and E.U. Horizon 2020.","Additional co-authors of the study include Ting Du, Amanda Sweeney, Guojun Liu, Logan Bashford, Edna Toro, Jeffrey Tithof, Douglas Kelley, John Thomas, Orestes Solis, and Rupal Mehta with University of Rochester, Andrew Sampson, Weiguo Peng, Kristian Mortensen, Frederik Staeger, Peter Bork, Hajime Hirase, and Yuki Mori with the University of Copenhagen, Poul Hjorth and Erik Martens with the Technical University of Denmark, [PERSON]Pablo Blinder[/PERSON] with [ORG]Tel Aviv University[/ORG], and David Kleinfeld with the University of California, San Diego. The Center for Translational Neuromedicine maintains labs at both URMC and the University of Copenhagen. The research was supported with funding from National Institute of Neurological Disorders and Stroke, the National Institute of Aging, the U.S. Army Research Office, Fondation Leducq Transatlantic Networks of Excellence Program, the Novo Nordisk and Lundbeck Foundations, and E.U. Horizon 2020.",Pablo Blinder,Tel Aviv University,employedBy,"['PERSON', 'ORG']",article_174_watch_a_brain_drown.txt,2,"Additional co-authors of the study include Ting Du, Amanda Sweeney, Guojun Liu, Logan Bashford, Edna Toro, Jeffrey Tithof, Douglas Kelley, John Thomas, Orestes Solis, and Rupal Mehta with University of Rochester, Andrew Sampson, Weiguo Peng, Kristian Mortensen, Frederik Staeger, Peter Bork, Hajime Hirase, and Yuki Mori with the University of Copenhagen, Poul Hjorth and Erik Martens with the Technical University of Denmark, [E1]Pablo Blinder[/E1] with [E2]Tel Aviv University[/E2], and David Kleinfeld with the University of California, San Diego.","Additional co-authors of the study include Ting Du, Amanda Sweeney, Guojun Liu, Logan Bashford, Edna Toro, Jeffrey Tithof, Douglas Kelley, John Thomas, Orestes Solis, and Rupal Mehta with University of Rochester, Andrew Sampson, Weiguo Peng, Kristian Mortensen, Frederik Staeger, Peter Bork, Hajime Hirase, and Yuki Mori with the University of Copenhagen, Poul Hjorth and Erik Martens with the Technical University of Denmark, [E1]Pablo Blinder[/E1] with [E2]Tel Aviv University[/E2], and David Kleinfeld with the University of California, San Diego.","Additional co-authors of the study include Ting Du, Amanda Sweeney, Guojun Liu, Logan Bashford, Edna Toro, Jeffrey Tithof, Douglas Kelley, John Thomas, Orestes Solis, and Rupal Mehta with University of Rochester, Andrew Sampson, Weiguo Peng, Kristian Mortensen, Frederik Staeger, Peter Bork, Hajime Hirase, and Yuki Mori with the University of Copenhagen, Poul Hjorth and Erik Martens with the Technical University of Denmark, [E1]Pablo Blinder[/E1] with [E2]Tel Aviv University[/E2], and David Kleinfeld with the University of California, San Diego."
"While each of the 80 high-potential start-ups identified in this year’s showcase deserves this designation, I pressed [E1]Niall McEvoy[/E1], a HPSU manager at [E2]Enterprise Ireland[/E2], to single out a handful that he’s excited about.","While each of the 80 high-potential start-ups identified in this year’s showcase deserves this designation, I pressed [PERSON]Niall McEvoy[/PERSON], a HPSU manager at [ORG]Enterprise Ireland[/ORG], to single out a handful that he’s excited about.",Niall McEvoy,Enterprise Ireland,managerOf,"['PERSON', 'ORG']",article_199_start_ups.txt,0,"While each of the 80 high-potential start-ups identified in this year’s showcase deserves this designation, I pressed [E1]Niall McEvoy[/E1], a HPSU manager at [E2]Enterprise Ireland[/E2], to single out a handful that he’s excited about.","While each of the 80 high-potential start-ups identified in this year’s showcase deserves this designation, I pressed [E2]Enterprise Ireland[/E2] manager [E1]Niall McEvoy[/E1], to single out a handful that he’s excited about.","while apiece of the eighty high-potential start-ups key_out atomic_number_49 this class ’ S showcase merit this designation , single press [E2]Enterprise Ireland[/E2] manager [E1]Niall McEvoy[/E1] , to single out a handful that he ’ s charge about ."
"Next question is going to come from the line of [E1]Brad Zelnick[/E1], [E2]Credit Suisse.[/E2]","Next question is going to come from the line of [PERSON]Brad Zelnick[/PERSON], [ORG]Credit Suisse.[/ORG]",Brad Zelnick,Credit Suisse.,employedBy,"['PERSON', 'ORG']",Article_07.txt,2,"Next question is going to come from the line of [E1]Brad Zelnick[/E1], [E2]Credit Suisse [/E2].","Next question is going to come from the line of [E1]Brad Zelnick[/E1], [E2]Credit Suisse [/E2].","Next question is going to come from the line of [E1]Brad Zelnick[/E1], [E2]Credit Suisse [/E2]."
"At Maynooth University’s Centre for Ocean Energy Research, Dr Oliver Mason and Prof [E1]John Ringwood[/E1] will partner with [E2]QUB [/E2]and Iowa State University to investigate new ways of improving the efficiency of arrays of wave energy converters.","At Maynooth University’s Centre for Ocean Energy Research, Dr Oliver Mason and Prof [PERSON]John Ringwood[/PERSON] will partner with [ORG]QUB [/ORG]and Iowa State University to investigate new ways of improving the efficiency of arrays of wave energy converters.",John Ringwood,QUB ,noRelation,"['PERSON', 'ORG']",article_60_Joint_investment_Ireland_US.txt,3,"At Maynooth University’s Centre for Ocean Energy Research, Dr Oliver Mason and Prof [E1]John Ringwood[/E1] will partner with [E2]QUB [/E2]and Iowa State University to investigate new ways of improving the efficiency of arrays of wave energy converters.","At Maynooth University’s Centre for Ocean Energy Research, Dr Oliver Mason and Prof [E1]John Ringwood[/E1] will partner with [E2]QUB [/E2]and Iowa State University to investigate new ways of improving the efficiency of arrays of wave energy converters.","At Maynooth University’s Centre for Ocean Energy Research, Dr Oliver Mason and Prof [E1]John Ringwood[/E1] will partner with [E2]QUB [/E2]and Iowa State University to investigate new ways of improving the efficiency of arrays of wave energy converters."
"Meanwhile, the directors of [E2]Dolphin MUT 116[/E2], also [E1]McCloskey [/E1]and Flynn, said they “hope to make a decision shortly” on this vehicle, which was geared towards pension investors and owes investors €65.8 million of the total €107 million.","Meanwhile, the directors of [ORG]Dolphin MUT 116[/ORG], als[PERSON]o McCloske[/PERSON]y and Flynn, said they “hope to make a decision shortly” on this vehicle, which was geared towards pension investors and owes investors €65.8 million of the total €107 million.",McCloskey ,Dolphin MUT 116,managerOf,"['PERSON', 'ORG']",article_56_Charles_Smethurst’s_GPG.txt,0,"Meanwhile, the directors of [E2]Dolphin MUT 116[/E2], also [E1]McCloskey [/E1]and Flynn, said they “hope to make a decision shortly” on this vehicle, which was geared towards pension investors and owes investors €65.8 million of the total €107 million.","Meanwhile, the directors of managerOf[E1]McCloskey [/E1][E2]Dolphin MUT 116[/E2]and Flynn, said they “hope to make a decision shortly” on this vehicle, which was geared towards pension investors and owes investors €65.8 million of the total €107 million.","meantime , the manager of managerOf[E1]McCloskey [/E1][E2]Dolphin MUT 116[/E2]and Flynn , said they “ hope to make a decisiveness in_short ” on this vehicle , which was geared towards pension investor and owe investor €65.8 million of the amount €107 million ."
"“[Prior to AccountsIQ] bookkeeping was done in different ways, at different times and to varying degrees of complexity across the businesses. All of this was risky in terms of version control. The reporting was inevitably inaccurate and late. Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [E1]Alastair Manson[/E1] of [E2]Tindle Newspaper Group[/E2].","“[Prior to AccountsIQ] bookkeeping was done in different ways, at different times and to varying degrees of complexity across the businesses. All of this was risky in terms of version control. The reporting was inevitably inaccurate and late. Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [PERSON]Alastair Manson[/PERSON] of [ORG]Tindle Newspaper Group[/ORG].",Alastair Manson,Tindle Newspaper Group,employedBy,"['PERSON', 'ORG']",article_219_payback_from_cloud_based.txt,2,"Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [E1]Alastair Manson[/E1] of [E2]Tindle Newspaper Group[/E2].","Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [E2]Tindle Newspaper Group[/E2] employed [E1]Alastair Manson[/E1].","Now , AccountsIQ admit uracil to report monthly management chronicle within II weeks ” , says [E2]Tindle Newspaper Group[/E2] employed [E1]Alastair Manson[/E1] ."
"[E1]Rafael Steinmetz Leffa[/E1], executive director at [E2]GWM London Limited[/E2], an alternative investment fund manager, claimed his Chinese clients still see a UK property investment as diversification away from their home country.","[PERSON]Rafael Steinmetz Leffa[/PERSON], executive director at [ORG]GWM London Limited[/ORG], an alternative investment fund manager, claimed his Chinese clients still see a UK property investment as diversification away from their home country.",Rafael Steinmetz Leffa,GWM London Limited,employedBy,"['PERSON', 'ORG']",article_61_Post-Brexit.txt,2,"[E1]Rafael Steinmetz Leffa[/E1], executive director at [E2]GWM London Limited[/E2], an alternative investment fund manager, claimed his Chinese clients still see a UK property investment as diversification away from their home country.","[E1]Rafael Steinmetz Leffa[/E1], executive director at [E2]GWM London Limited[/E2], an alternative investment fund manager, claimed his Chinese clients still see a UK property investment as diversification away from their home country.","[E1]Rafael Steinmetz Leffa[/E1], executive director at [E2]GWM London Limited[/E2], an alternative investment fund manager, claimed his Chinese clients still see a UK property investment as diversification away from their home country."
"[E1]Janet Hill[/E1], director, Carlyle Group, Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, [E2]Storage USA[/E2], Wendy's","[PERSON]Janet Hill[/PERSON], director, Carlyle Group, Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, [ORG]Storage USA[/ORG], Wendy's",Janet Hill,Storage USA,noRelation,"['PERSON', 'ORG']",article_169_NACD.txt,3,"[E1]Janet Hill[/E1], director, Carlyle Group, Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, [E2]Storage USA[/E2], Wendy's.","[E2]Storage USA[/E2]  [E1]Janet Hill[/E1], Wendy's.","[E2]Storage USA[/E2]  [E1]Janet Hill[/E1], Wendy's."
"Human Resources Spokesperson for [E2]Dow[/E2], [E1]Steven Westerman[/E1] explained this was offered to employees for 60 years prior to the DowDuPont merger and is one of the top favored benefits by employees.","Human Resources Spokesperson for [ORG]Dow[/ORG][PERSON], Steven Westerm[/PERSON]an explained this was offered to employees for 60 years prior to the DowDuPont merger and is one of the top favored benefits by employees.",Steven Westerman,Dow,employedBy,"['PERSON', 'ORG']",article_212_Dow.txt,2,"Human Resources Spokesperson for [E2]Dow[/E2], [E1]Steven Westerman[/E1] explained this was offered to employees for 60 years prior to the DowDuPont merger and is one of the top favored benefits by employees.","Human Resources Spokesperson for [E2]Dow[/E2], [E1]Steven Westerman[/E1] explained this was offered to employees for 60 years prior to the DowDuPont merger and is one of the top favored benefits by employees.","Human resource Spokesperson for [E2]Dow[/E2] , [E1]Steven Westerman[/E1] explained this was offered to employee for 60 years anterior to the DowDuPont fusion and is one of the lead favored gain by employees ."
"[E1]Dineen [/E1]began corresponding through her son with MUT 103 and WOTL last May, but found herself “consistently fobbed off” as Dineen sought answers, her counsel, Bernard Dunleavy SC, told the High Court on March 1st, as part of the investor’s petition to have the insolvent[E2] MUT 103[/E2] put into liquidation.","[PERSON]Dineen [/PERSON]began corresponding through her son with MUT 103 and WOTL last May, but found herself “consistently fobbed off” as Dineen sought answers, her counsel, Bernard Dunleavy SC, told the High Court on March 1st, as part of the investor’s petition to have the insolvent[ORG] MUT 103[/ORG] put into liquidation.",Dineen , MUT 103,noRelation,"['PERSON', 'ORG']",article_56_Charles_Smethurst’s_GPG.txt,3,"[E1]Dineen [/E1]began corresponding through her son with MUT 103 and WOTL last May, but found herself “consistently fobbed off” as Dineen sought answers, her counsel, Bernard Dunleavy SC, told the High Court on March 1st, as part of the investor’s petition to have the insolvent[E2] MUT 103[/E2] put into liquidation.","[E1]Dineen [/E1]began corresponding through her son with MUT 103 and WOTL last May, but found herself “consistently fobbed off” as Dineen sought answers, her counsel, Bernard Dunleavy SC, told the High Court on March 1st, as part of the investor’s petition to have the insolvent[E2] MUT 103[/E2] put into liquidation.","[E1]Dineen [/E1]began corresponding through her son with MUT 103 and WOTL terminal may , but notice herself “ consistently fox off ” as Dineen sought answer , her counsel , Bernard Dunleavy SC , separate the high Court on borderland 1st , arsenic separate of the investor ’ atomic_number_16 petition to have the insolvent[E2] MUT 103[/E2] place into liquidation ."
"[E1]Kees van der Sande[/E1], director and trustee at [E2]Formation Architects[/E2], an award-winning architectural practice in London, noted that post-Brexit, there is now a much more level playing field for those wishing to come to the UK from outside the EU.","[PERSON]Kees van der Sande[/PERSON], director and trustee at [ORG]Formation Architects[/ORG], an award-winning architectural practice in London, noted that post-Brexit, there is now a much more level playing field for those wishing to come to the UK from outside the EU.",Kees van der Sande,Formation Architects,managerOf,"['PERSON', 'ORG']",article_61_Post-Brexit.txt,0,"[E1]Kees van der Sande[/E1], director and trustee at [E2]Formation Architects[/E2], an award-winning architectural practice in London, noted that post-Brexit, there is now a much more level playing field for those wishing to come to the UK from outside the EU.","[E2]Formation Architects[/E2] manager [E1]Kees van der Sande[/E1], an award-winning architectural practice in London, noted that post-Brexit, there is now a much more level playing field for those wishing to come to the UK from outside the EU.","[E2]Formation Architects[/E2] director [E1]Kees van der Sande[/E1] , an award-winning architectural praxis in London , noted that post-Brexit , there is now a much More flat play athletic_field for those wishing to come to the UK from outside the EEC ."
"“Working together with faculty on a research project can be a life-changing opportunity for students-opening their eyes to new fields, new ideas, and the potential for discovery,” said [E1]Alexander N. Cartwright[/E1], [E2]SUNY[/E2] provost and executive vice chancellor, and interim president of the Research Foundation for SUNY. “The summer research programs offered through the networks are part of SUNY’s applied learning commitment, preparing students for success in today’s global economy.”","“Working together with faculty on a research project can be a life-changing opportunity for students-opening their eyes to new fields, new ideas, and the potential for discovery,” said [PERSON]Alexander N. Cartwright[/PERSON], [ORG]SUNY[/ORG] provost and executive vice chancellor, and interim president of the Research Foundation for SUNY. “The summer research programs offered through the networks are part of SUNY’s applied learning commitment, preparing students for success in today’s global economy.”",Alexander N. Cartwright,SUNY,managerOf,"['PERSON', 'ORG']",article_173_ccamp.txt,0,"“Working together with faculty on a research project can be a life-changing opportunity for students-opening their eyes to new fields, new ideas, and the potential for discovery,” said [E1]Alexander N  Cartwright[/E1], [E2]SUNY[/E2] provost and executive vice chancellor, and interim president of the Research Foundation for SUNY.","“Working together with faculty on a research project can be a life-changing opportunity for students-opening their eyes to new fields, new ideas, and the potential for discovery,” said [E1]Alexander N  Cartwright[/E1], [E2]SUNY[/E2] provost and executive vice chancellor, and interim president of the Research Foundation for SUNY.","“ Working together with faculty on angstrom research project lav live a life-changing opportunity for students-opening their optic to unexampled field , new melodic_theme , and the potential for discovery , ” said [E1]Alexander N  Cartwright[/E1] , [E2]SUNY[/E2] provost and executive vice chancellor , and interim chair of the Research Foundation for SUNY ."
"“NAB views [E1]Commvault[/E1] as an integral part of their data mobility plans whether from on-premises to cloud or cloud to cloud,” [E2]Ler [/E2]added.","“NAB views [ORG]Commvault[/ORG] as an integral part of their data mobility plans whether from on-premises to cloud or cloud to cloud,” [PERSON]Ler [/PERSON]added.",Commvault,Ler ,noRelation,"['ORG', 'PERSON']",article_51_Commvault.txt,3,"“NAB views [E1]Commvault[/E1] as an integral part of their data mobility plans whether from on-premises to cloud or cloud to cloud,” [E2]Ler [/E2]added.","“NAB views [E1]Commvault[/E1] as an integral part of their data mobility plans whether from on-premises to cloud or cloud to cloud,” [E2]Ler [/E2]added.","“NAB views [E1]Commvault[/E1] as an integral part of their data mobility plans whether from on-premises to cloud or cloud to cloud,” [E2]Ler [/E2]added."
"[E1]Wojcicki[/E1] said that her company never defaults its customers into the database the firm uses for research, but that 80% of [E2]23andMe's[/E2] clients have opted in.","[PERSON]Wojcicki[/PERSON] said that her company never defaults its customers into the database the firm uses for research, but that 80% of [ORG]23andMe's[/ORG] clients have opted in.",Wojcicki,23andMe's,managerOf,"['PERSON', 'ORG']",article_110_The_risks_and_rewards.txt,0,"[E1]Wojcicki[/E1] said that her company never defaults its customers into the database the firm uses for research, but that 80% of [E2]23andMe's[/E2] clients have opted in.",managerOf [E2]23andMe's[/E2][E1]Wojcicki[/E1] clients have opted in.,managerOf [E2]23andMe's[/E2][E1]Wojcicki[/E1] customer have opted in .
"The funding agencies involved are Science Foundation Ireland (SFI) and the Health Research Board in Ireland, the National Science Foundation and National Institutes of Health in the [E1]US[/E1], and the Health and Social Care R&D division and the [E2]Department for the Economy[/E2] in Northern Ireland.","The funding agencies involved are Science Foundation Ireland (SFI) and the Health Research Board in Ireland, the National Science Foundation and National Institutes of Health in the [GPE]US[/GPE], and the Health and Social Care R&D division and the [ORG]Department for the Economy[/ORG] in Northern Ireland.",US,Department for the Economy,noRelation,"['GPE', 'ORG']",article_60_Joint_investment_Ireland_US.txt,3,"The funding agencies involved are Science Foundation Ireland (SFI) and the Health Research Board in Ireland, the National Science Foundation and National Institutes of Health in the [E1]US[/E1], and the Health and Social Care R&D division and the [E2]Department for the Economy[/E2] in Northern Ireland.","The funding agencies involved are Science Foundation Ireland (SFI) and the Health Research Board in Ireland, the National Science Foundation and National Institutes of Health in the [E2]Department for the Economy[/E2]  [E1]US[/E1] in Northern Ireland.","The funding agencies involved are Science Foundation Ireland (SFI) and the Health Research Board in Ireland, the National Science Foundation and National Institutes of Health in the [E2]Department for the Economy[/E2]  [E1]US[/E1] in Northern Ireland."
"Yet some believe four-day weeks are the future, including [E2]University of Leeds[/E2] economics professor [E1]David Spencer[/E1].","Yet some believe four-day weeks are the future, including [ORG]University of Leeds[/ORG] economics professo[PERSON]r David Spenc[/PERSON]er.",David Spencer,University of Leeds,employedBy,"['PERSON', 'ORG']",article_196_Leeds.txt,2,"Yet some believe four-day weeks are the future, including [E2]University of Leeds[/E2] economics professor [E1]David Spencer[/E1].","Yet some believe four-day weeks are the future, including [E2]University of Leeds[/E2] economics professor [E1]David Spencer[/E1].","Yet some believe four-day weeks are the future, including [E2]University of Leeds[/E2] economics professor [E1]David Spencer[/E1]."
"“We’re delighted about the relationship between Benify and Alight. Our close alignment and technology-first mindsets made this an obvious and easy decision,” said [E2]Joakim Alm[/E2], CEO of[E1] Benify[/E1]. “Working with multinational companies together, we can provide truly personalized and digital rewards experiences for every employee based on geography to reflect local cultures and values. We look forward to a successful relationship with Alight and to enhancing employee experiences everywhere.”","“We’re delighted about the relationship between Benify and Alight. Our close alignment and technology-first mindsets made this an obvious and easy decision,” said [PERSON]Joakim Alm[/PERSON][ORG], CEO o[/ORG]f Benify. “Working with multinational companies together, we can provide truly personalized and digital rewards experiences for every employee based on geography to reflect local cultures and values. We look forward to a successful relationship with Alight and to enhancing employee experiences everywhere.”", Benify,Joakim Alm,managerOf,"['ORG', 'PERSON']",article_213_Alight.txt,0,"Our close alignment and technology-first mindsets made this an obvious and easy decision,” said [E2]Joakim Alm[/E2], CEO of[E1] Benify[/E1].","Our close alignment and technology-first mindsets made this an obvious and easy decision,” said [E2]Joakim Alm[/E2], CEO of[E1] Benify[/E1].","Our close alignment and technology-first mindsets made this an obvious and easy decision,” said [E2]Joakim Alm[/E2], CEO of[E1] Benify[/E1]."
"Katie Farrell and Matthew Coffey are “two young founders fresh out of university and doing a great job”, according to McEvoy. They founded [E1]Squid[/E1] in [E2]Dublin[/E2] in 2019 with Coffey taking the lead as CEO and Farrell as COO and head of product. Part of the reasoning behind digital loyalty cards is that it generates less paper and plastic waste. Building on that environmental ethos, the company supported a tree-planting initiative last year for every loyalty card completed on the platform.","Katie Farrell and Matthew Coffey are “two young founders fresh out of university and doing a great job”, according to McEvoy. They founded [ORG]Squid[/ORG] in [GPE]Dublin[/GPE] in 2019 with Coffey taking the lead as CEO and Farrell as COO and head of product. Part of the reasoning behind digital loyalty cards is that it generates less paper and plastic waste. Building on that environmental ethos, the company supported a tree-planting initiative last year for every loyalty card completed on the platform.",Squid,Dublin,locatedAt,"['ORG', 'GPE']",article_199_start_ups.txt,1,They founded [E1]Squid[/E1] in [E2]Dublin[/E2] in 2019 with Coffey taking the lead as CEO and Farrell as COO and head of product.,They founded [E1]Squid[/E1] in [E2]Dublin[/E2] in 2019 with Coffey taking the lead as CEO and Farrell as COO and head of product.,They found [E1]Squid[/E1] in [E2]Dublin[/E2] indium 2019 with Coffey taking the jumper_lead as chief_executive_officer and Farrell ampere coo and head of product .
"Changyi Liu, senior residential account manager at [E1]estate agency Foxtons[/E1], said Chinese buyers are buying across the whole of the capital, with the most popular areas right now being Central [E2]London[/E2], Canary Wharf, Nine Elms, Lewisham, Deptford and Woolwich.","Changyi Liu, senior residential account manager at [ORG]estate agency Foxtons[/ORG], said Chinese buyers are buying across the whole of the capital, with the most popular areas right now being Central [GPE]London[/GPE], Canary Wharf, Nine Elms, Lewisham, Deptford and Woolwich.",estate agency Foxtons,London,noRelation,"['ORG', 'GPE']",article_61_Post-Brexit.txt,3,"Changyi Liu, senior residential account manager at [E1]estate agency Foxtons[/E1], said Chinese buyers are buying across the whole of the capital, with the most popular areas right now being Central [E2]London[/E2], Canary Wharf, Nine Elms, Lewisham, Deptford and Woolwich.","Changyi Liu, senior residential account manager at [E1]estate agency Foxtons[/E1], said Chinese buyers are buying across the whole of the capital, with the most popular areas right now being Central [E2]London[/E2], Canary Wharf, Nine Elms, Lewisham, Deptford and Woolwich.","Changyi Liu , senior residential chronicle handler at [E1]estate agency Foxtons[/E1] , said Chinese buyers equal buying crossways the whole of the chapiter , with the most popular areas right forthwith be central [E2]London[/E2] , fink wharf , ball_club Elms , Lewisham , Deptford and Woolwich ."
"In terms of the second element of our mandate, economic impact, the announcement by [E1]Stripe[/E1] includes a number of commitments to Ireland – more than 1,000 high-skilled jobs to be added here to Stripe already very successful Dublin office, a focus on growing its sustainable finance strategy in [E2]Ireland [/E2]and a promise to help and support 10,000 Irish SMEs to trade globally over the next five years.","In terms of the second element of our mandate, economic impact, the announcement by [ORG]Stripe[/ORG] includes a number of commitments to Ireland – more than 1,000 high-skilled jobs to be added here to Stripe already very successful Dublin office, a focus on growing its sustainable finance strategy in [GPE]Ireland [/GPE]and a promise to help and support 10,000 Irish SMEs to trade globally over the next five years.",Stripe,Ireland ,locatedAt,"['ORG', 'GPE']",article_55_Stripe.txt,1,"In terms of the second element of our mandate, economic impact, the announcement by [E1]Stripe[/E1] includes a number of commitments to Ireland – more than 1,000 high-skilled jobs to be added here to Stripe already very successful Dublin office, a focus on growing its sustainable finance strategy in [E2]Ireland [/E2]and a promise to help and support 10,000 Irish SMEs to trade globally over the next five years.","In terms of the second element of our mandate, economic impact, the announcement by [E1]Stripe[/E1] includes a number of commitments to Ireland – more than 1,000 high-skilled jobs to be added here to Stripe already very successful Dublin office, a focus on growing its sustainable finance strategy in [E2]Ireland [/E2]and a promise to help and support 10,000 Irish SMEs to trade globally over the next five years.","In terms of the second element of our mandate, economic impact, the announcement by [E1]Stripe[/E1] includes a number of commitments to Ireland – more than 1,000 high-skilled jobs to be added here to Stripe already very successful Dublin office, a focus on growing its sustainable finance strategy in [E2]Ireland [/E2]and a promise to help and support 10,000 Irish SMEs to trade globally over the next five years."
"Indeed his résumé includes well-known names in Irish tech such as PFH, Trend Micro, Sage and McAfee. [E2]GuardYoo[/E2] co-founders Oleh Derevianko and [E1]Roman Sologub[/E1] have created what they believe to be a game changer in cybersecurity.","Indeed his résumé includes well-known names in Irish tech such as PFH, Trend Micro, Sage and McAfee. [ORG]GuardYoo[/ORG] co-founders Oleh Derevianko an[PERSON]d Roman Solog[/PERSON]ub have created what they believe to be a game changer in cybersecurity.",Roman Sologub,GuardYoo,managerOf,"['PERSON', 'ORG']",article_199_start_ups.txt,0,[E2]GuardYoo[/E2] co-founders Oleh Derevianko and [E1]Roman Sologub[/E1] have created what they believe to be a game changer in cybersecurity.,[E2]GuardYoo[/E2] co-founders Oleh Derevianko and [E1]Roman Sologub[/E1] have created what they believe to be a game changer in cybersecurity.,[E2]GuardYoo[/E2] co-founders Oleh Derevianko and [E1]Roman Sologub[/E1] make created what they think to be group_A game changer in cybersecurity .
"When it first emerged in July 2019 that [E1]Dolphin Trust[/E1] had missed interest payments in the [E2]UK[/E2], WOTL issued a letter to brokers highlighting how Irish investors were protected, saying it only passed on money to Germany “when we have security in place for a value in excess of the funds loaned”.","When it first emerged in July 2019 that [ORG]Dolphin Trust[/ORG] had missed interest payments in the [GPE]UK[/GPE], WOTL issued a letter to brokers highlighting how Irish investors were protected, saying it only passed on money to Germany “when we have security in place for a value in excess of the funds loaned”.",Dolphin Trust,UK,noRelation,"['ORG', 'GPE']",article_56_Charles_Smethurst’s_GPG.txt,3,"When it first emerged in July 2019 that [E1]Dolphin Trust[/E1] had missed interest payments in the [E2]UK[/E2], WOTL issued a letter to brokers highlighting how Irish investors were protected, saying it only passed on money to Germany “when we have security in place for a value in excess of the funds loaned”.","When it first emerged in July 2019 that [E1]Dolphin Trust[/E1] had missed interest payments in the [E2]UK[/E2], WOTL issued a letter to brokers highlighting how Irish investors were protected, saying it only passed on money to Germany “when we have security in place for a value in excess of the funds loaned”.","When it first emerged in July 2019 that [E1]Dolphin Trust[/E1] had missed interest payments in the [E2]UK[/E2], WOTL issued a letter to brokers highlighting how Irish investors were protected, saying it only passed on money to Germany “when we have security in place for a value in excess of the funds loaned”."
"[E1]Janet Hill[/E1], director, [E2]Carlyle Group[/E2], Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, Storage USA, Wendy's","[PERSON]Janet Hill[/PERSON], director, [ORG]Carlyle Group[/ORG], Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, Storage USA, Wendy's",Janet Hill,Carlyle Group,managerOf,"['PERSON', 'ORG']",article_169_NACD.txt,0,"[E1]Janet Hill[/E1], director, [E2]Carlyle Group[/E2], Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, Storage USA, Wendy's.","[E1]Janet Hill[/E1], director, [E2]Carlyle Group[/E2], Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, Storage USA, Wendy's.","[E1]Janet Hill[/E1], director, [E2]Carlyle Group[/E2], Dean Foods, Esquire Bank; former director, Houghton Mifflin, Progressive, Security Capital Group, Sprint, Storage USA, Wendy's."
